STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,FLOW_TYPE,Flow type,OBS_STATUS,Observation status
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2020,,5922.889729,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2024,,7083.848397,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2022,,7119.55066,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2021,,5487.569413,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2023,,7266.228731,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2020,,4095.276932,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2022,,4819.928449,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2021,,4135.929156,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2019,,3581.103872,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2016,,4119.701771,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2017,,3630.413976,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2018,,3522.029488,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,CHE,Switzerland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2015,,3941.395374,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,KOR,Korea,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2009,,1000.692328,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,KOR,Korea,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2015,,1877.441774,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,KOR,Korea,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2014,,1748.76337,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,KOR,Korea,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2013,,1736.638949,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,KOR,Korea,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2010,,1270.924354,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,KOR,Korea,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2012,,1643.094312,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,KOR,Korea,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2011,,1357.139992,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,PRT,Portugal,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2006,,478.534154,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,PRT,Portugal,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2005,,474.463201,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,PRT,Portugal,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2009,,526.802242,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,PRT,Portugal,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2007,,505.882635,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,PRT,Portugal,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2008,,621.999364,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,PRT,Portugal,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2011,,724.621009,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,PRT,Portugal,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2010,,695.625961,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,ESP,Spain,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2009,,6196.90539,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,ESP,Spain,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2010,,5870.12017,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,ESP,Spain,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2008,,6254.161769,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,ESP,Spain,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2011,,3927.962097,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,ESP,Spain,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2013,,2309.238335,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,ESP,Spain,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2012,,2078.674446,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,ESP,Spain,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2007,,5053.314772,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,DEU,Germany,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2012,,14469.902211,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,DEU,Germany,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2014,,17268.507708,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,DEU,Germany,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2015,,21998.042842,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,DEU,Germany,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2013,,15102.853939,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,DEU,Germany,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2016,,30045.230692,,2023,,6,Millions,D,Disbursements,A,Normal value
